geoid,Population,population-density,life-expectancy,medianAge,urban population,new_tests_7day_smoothed [population],motor vehicles per 1000 people,Longitude,Latitude,Average precipitation in depth (mm per year),total paid leave,fertility rate,muslims/population,chistians/population,unaffiliated/population,hindus/population,buddhists/population,jews/population,folkReligions/population,other/population,Population ages 65 and above (% of total population),GDP per capita (current US$),Cancer Rate (%),Share of Deaths from Smoking (%),Pneumonia Death Rate (per 100K),Share of Deaths from Air Pollution (%),CO2 emissions (metric tons per capita),Air transport (# carrier departures worldwide) per capita
Puerto Rico/,2860853,360.0173619,79.77819512,43.6,,,,-66.5,18.25,2054,15,1.2,0.00175,1.26885,0.02447,0.00175,0.00350,0.00175,0.01049,0.00175,18.67485021,31651.34815,1.24440414,5.4,21.79625886,3.7,0,0
Qatar/,2881053,239.5931955,80.1,33.7,0.96,0.003007,411,51.25,25.5,74,25,1.9,0.41304,0.08330,0.00694,0.08330,0.01735,0.00174,0.00174,0.00347,1.370070339,68793.78444,0.998635471,7.39,18.80268861,9.2,43.85730795,0.06865927145
Romania/,19237691,84.63380129,75.35853659,42.5,0.55,0.001864,458,25,46,637,34,1.6,0.00364,1.11136,0.00104,0.00026,0.00026,0.00026,0.00026,0.00026,18.33870139,12301.1864,1.633056952,15.51,21.69072367,5.79,3.516153691,0.002892083047
Russia/,145934462,8.822067953,72.12,40.3,0.74,0.003874,381,100,60,460,45,1.8,0.09792,0.71779,0.15884,0.00021,0.00116,0.00158,0.00212,0.00003,14.67470832,11288.87845,1.754436206,16.41,17.73043811,5.42,11.85752777,0.006065010196
Rwanda/,12952218,498.6598703,68.7,19.7,0.18,0.000427,5,30,-2,1212,26,4.1,0.01467,0.76589,0.02934,0.00039,0.00039,0.00039,0.00772,0.00154,2.938196078,772.9444599,0.441838617,5.56,93.22594955,8.1,0.075764224,0.001423617175
San Marino/,33931,563.0833333,85.42,45.2,0.97,,1263,12.4167,43.7667,,,,0.14736,0.88415,0.14736,0.14736,0.14736,0.14736,0.14736,0.14736,,,,,,,,
Saudi Arabia/,34813871,15.67665431,74998,30.8,0.84,0.001932,209,45,25,59,30,2.3,0.73304,0.03447,0.00517,0.00890,0.00259,0.00014,0.00201,0.00201,3.314088023,23338.96346,0.908721275,5.92,28.64011854,9.23,19.44066648,0.007297773548
Senegal/,16743927,82.34747832,67665,19.4,0.49,0.000097,44,-14,14,686,32,4.7,0.71548,0.02688,0.00030,0.00030,0.00030,0.00030,0.00030,0.00030,,,,,,,,
Serbia/,8737371,79.8376858,75.8902439,43.4,0.56,0.002303,336,,,686,31,1.5,0.03777,0.85724,0.02976,0.00057,0.00057,0.00057,0.00057,0.00057,18.34579269,7246.731656,1.761549381,19.99,10.30197527,8.01,5.282521917,0.003222937426
Seychelles/,98347,210.3521739,72.84146341,36.8,0.56,,22,55.6667,-4.5833,2330,34,2.5,0.05084,0.91513,0.05084,0.05084,0.05084,0.05084,0.05084,0.05084,7.594545604,16433.93529,1.287976966,11.54,79.01521626,5.43,5.418677963,0.1898481906
Sierra Leone/,7976983,105.987171,54309,19.1,0.43,,6,-11.5,8.5,2526,,4.3,0.57415,0.15419,0.00063,0.00063,0.00063,0.00063,0.00627,0.00063,2.966556211,533.9911843,0.407415789,3.42,138.2487198,8.57,0.186560088,0
Singapore/,5850342,7952.998418,83.14634146,35.6,,0.005750,170,103.8,1.3667,2497,18,1.2,0.12478,0.15726,0.14187,0.04444,0.29571,0.00085,0.02051,0.08376,11.46338019,64581.94402,2.174969716,12.1,41.84535578,6.64,10.30633191,0.03568799909
Slovak Republic/,5459642,113.2855865,77.26585366,41.8,0.54,0.003298,408,19.5,48.6667,824,35,1.5,0.00092,0.85354,0.14287,0.00092,0.00092,0.00092,0.00092,0.00092,15.6292465,19442.70576,2.11595951,15.61,20.22993263,5.96,5.661581328,0
Slovenia/,2078938,102.9636605,81.37804878,44.9,0.55,0.003088,541,15,46,1162,33,1.6,0.03367,0.76481,0.17798,0.00241,0.00241,0.00241,0.00241,0.00241,19.60687965,26123.97387,2.073678982,14.89,12.24346427,4.6,6.213686845,0.008871837448
Solomon Islands/,686884,23.32468739,72835,23.5,0.23,,3,159,-8,3028,15,4.4,0.00728,0.75704,0.00728,0.00728,0.00728,0.00728,0.00728,0.00728,,,,,,,,
